bhuman/GameController	jankotek/mapdb	junit-team/junit	ornicar/lila	niklasf/python-chess	
1	57	148	175	5	
1	57	143	178	5	
1	57	144	179	5	
1	57	145	181	6	
1	59	144	183	6	
1	53	146	189	5	
1	54	146	188	5	
1	54	146	188	5	
1	54	146	183	5	
1	54	147	188	5	
1	54	147	190	6	
1	53	148	192	5	
1	54	148	194	5	
1	55	148	197	5	
1	54	148	199	5	
1	54	150	200	5	
1	54	152	206	5	
1	54	151	205	5	
1	54	152	209	5	
1	54	153	210	5	
1	54	153	212	5	
1	54	155	214	5	
1	54	152	215	5	
1	54	152	212	5	
1	54	151	213	5	
1	55	152	220	5	
1	56	153	220	5	
1	58	154	221	5	
1	59	154	221	5	
1	59	153	221	5	
1	59	153	222	5	
1	59	153	223	5	
1	60	152	223	5	
1	63	152	228	5	
1	64	152	227	5	
1	64	152	227	5	
1	64	152	227	5	
1	64	152	227	5	
1	65	152	228	5	
1	67	153	229	5	
1	67	153	229	6	
1	66	154	229	6	
